etiqueta_duplicaDO,duplicados
"agrostis longiberbisluederwaldt, h.s.n.1910",28909/62869
"agrostis longiberbissouza, v.c.22941993",28902/62864
"agrostis longiberbissouza, v.c.35221993",28903/62863
"agrostis longiberbisusteri, a.s.n.1906",28911/62870
"andropogon carinatuschase, a.98751925",28919/62874/62875
"andropogon carinatushochne, w.2837na",28922/62879
"andropogon carinatushoehne, w.28541948",28918/62877/28917/62878
"andropogon carinatusputtemans, a.s.n.1902",28921/62880
"andropogon glaucophyllusgehrt, a.s.n.1939",30003/30004/30007/63692/63695/63696/30006/63693/30009/30005/30008/63690/63691/63694
"andropogon glaucophylluspickel, b.57921942",30002/63689
"andropogon hypogynushoehne, w.29791949",28930/62885
"andropogon hypogynuskuhlmann, m.29361953",28929/62883
andropogon hypogynuss.col.s.n.1908,28931/62890
"andropogon hypogynususteri, a.s.n.1906",28932/62891
"aristida brasiliensischase, a.107071930",28936
"aristida brasiliensispickel, b.52311941",28935
"aristida brasiliensisloefgren, a.cgg23641894",28938/62892
"aristida brasiliensisusteri, a.s.n.1908",28937/62893
"aristida circinalisloefgren, a.38221907",28960/28958/62895
"aristida circinalischase, a.105921930",28956
"aristida circinaliseiten, g.; sendulsky, t.28711961",28948/62905/28949/28947
"aristida circinalishell, k.g.s.n.1968",28943/62899
"aristida circinalisjoly, a.b.2871946",28952/28953/62908
"aristida circinalisjoly, a.b.8971949",28951/62900
"aristida circinalisloefgren, a.2421907",62894/28957/28959
"aristida circinalissemir, j.s.n.1968",28942/62898
"aristida circinalissendulsky, t.4121966",28945/62901/28946/62907
"aristida circinalissendulsky, t.7491967",28944/62906
"aristida circinalissilva, t.s.2651977",28940
"aristida ekmanianaeiten, g.; sendullsky, t.; sendulsky, t.28501961",62911
"aristida ekmanianaeiten, g.; sendulsky, t.28501961",28968/62920/28970
"aristida ekmanianaeiten, g.; sendulsky, t.28591961",28965/28967/28969/62912/62913/62918/62919/28971/28966/62909
"aristida ekmanianasendulsky, t.901963",28962/28964/28963/62914/62915/62917
"aristida macrophyllajoly, a.b.5111947",28977/28974/62922/28975/28976/62925/62929
"aristida macrophyllaloefgren, a.376na",28981
"aristida macrophyllawacket, m.s.n.1902",28980/62924/28978/28979/62921/62923
"aristida macrophyllasendulsky, t.7131963",28973/62928
"aristida subaequansburchell, w.j.5025-expna",63739
"aristida subaequansjoly, a.b.4041947",30350/63738
"aristida subaequansrodrigues, r.s.; filgueiras, t.s.; kawakita, k.3372013",30349/63740
"aristida subaequansburchell, w.j.5025-ppna",30352/63737
"aristida subaequansburchell, w.j.5025na",30351/63736
"arthropogon xerachneloefgren, a.38201908",29949
"arthropogon xerachneloefgren, a.2431908",29948/63644/29950/63643/63640/29947
"arthropogon xerachneviegas, a.; lima, a.59291940",29946
"arthropogon xerachneeiten, g.; sendulsky, t.28671961",29940/29943/63646/63648/29944/29941/63642
"arthropogon xerachneeiten, g.28671961",29942/63639
"arthropogon xerachneloefgren, a.2431888",29951
"arthropogon xerachnemimura, i.5631962",29939/63647
"arthropogon xerachnepilon, n.a.l.; silva, f.b.2002018",29938/63641
"arundinella deppeanasugiyama, m.; kirizawa, m.12611994",30018/63704
"aulonemia setosaclark, l.g.; al.829na",30348/63729
"aulonemia setosaclark, l.g.; morel, m.8291991",30346/30347/63734/63735/30343/30344/63731/63732/30345/30342/63730
"avena strigosaeiten, l.t.191965",30026/63714/30025/63709
"axonopus argentinusskvortzov, b.v.92na",29953/63649
"axonopus argentinusskvortzov, b.v.451962",29952/63650
"axonopus comansjoly, a.b.s.n.1947",29955
"axonopus comansjoly, a.b.5281947",29956
"axonopus comanssellow, f.s.n.1836",29961
"axonopus comanshoehne, w.28171948",29954
"axonopus comanswacket, m.s.n.1902",29960/29958/29959
"axonopus comansusteri, a.9-a1907",29957
"axonopus monticolaloefgren, a.38371909",29144
"axonopus monticolaloefgren, a.s.n.na",29160
"axonopus monticolachase, a.98431925",29137/29132
"axonopus monticolachase, a.98441925",29138
"axonopus monticolachase, a.98591925",29135/62933/29134/62930
"axonopus monticolachase, a.106861930",29129/29127/29128
"axonopus monticolachase, a.106961930",29130
"axonopus monticolafrazão, a.s.n.1918",29141/29140
"axonopus monticolausteri, a.97521907",29146/29149
"axonopus monticolachase, a.98581925",29133/62932
"axonopus monticolachase, a.99161925",29131
"axonopus monticolalofgren, a.2331909",29145
"axonopus monticolapickel, b.j.59231948",29107
"axonopus monticolapickel, b.j.59411953",29102
"axonopus monticolapickel, b.j.59421953",29101
"axonopus monticolapickel, b.51461941",29115/29114
"axonopus monticolapickel, b.55581941",29120/29118/29119/29117
"axonopus monticolabarreto, k.d.29001994",29037
"axonopus monticolabarreto, k.d.29321994",29038
"axonopus monticolacovolan, h.491983",29049
"axonopus monticolapickel, b.51561940",29122/29121
"axonopus monticolapickel, d.b.59231948",29105/62931
"axonopus monticolahoehne, f.c.921917",29143
"axonopus monticolafrança, v.g.332014",28985
"axonopus monticolafrança, f.g.332014",28984
"axonopus monticolafreitas, l.8322000",29012/29015
"axonopus monticolafreitas, l.8342000",29013/29014
"axonopus monticolafreitas, l.; san-martin, i.8262000",29009
"axonopus monticolafreitas, l.; san-martin, i.8282000",29008
"axonopus monticolablack, g.a.51-110231951",29103
"axonopus monticolaeiten, g.; eiten, l.t.25811961",29093/29094/29091
"axonopus monticolaviegas, g.32761938",29124
"axonopus monticolaguillemin, j.b.a.5591839",29151
"axonopus monticolahell, k.g.22601968",29077/29076
"axonopus monticolahoehne, f.c.s.n.1917",29142
"axonopus monticolahoehne, w.28731948",29109/29110/29108
"axonopus monticolagottsberger, i.s.99345-ana",29158
"axonopus monticolagottsberger, i.s.9934425271-r1971",29071
"axonopus monticolalima, j.s.n.na",29152
"axonopus monticolatannus, j.l.s.10832006",28994/28996/28995
"axonopus monticolasemir, j.22681968",29074/29075
"axonopus monticolaconstantino, l.2021941",29116
"axonopus monticolabailey, l.h.; bailey, e.z.8551924",29139
"axonopus monticolafreitas, l.8262000",29010
"axonopus monticolafreitas, l.8282000",29011
"axonopus monticolaloefgren, a.cgg23631894",29150
"axonopus monticolalonghi wagner, h.m.31191996",29026
"axonopus monticolalonghi-wagner, h.m.80262002",29002
"axonopus monticolalonghi-wagner, h.m.; boechat, s.c.; araújo, a.c.31191996",29024
"axonopus monticolakuhlmann, m.323931935",29126
"axonopus monticolaoliveira, r.c.o1721993",29047
"axonopus monticolapickel, b.51471941",29113
"axonopus monticolashirasuna, r.t.35072014",28988/28989
"axonopus monticolamachado, s.1451960",29097
"axonopus monticolamachado, s.1961960",29100
"axonopus monticolavianna, s.3017-b1951",29104
"axonopus monticolasantos, a.l.412007",28993
"axonopus monticolasantos, a.l.632007",28992
"axonopus monticolascaramuzza, c.a.m.; fina, b.g.9371993",29046
"axonopus monticolascaramuzza, c.a.m.; godon, m.275na",29155
"axonopus monticolascaramuzza, c.a.m.; souza, v.c.281989",29048
"axonopus monticolascaramuzza, c.a.m.; souza, v.c.s.n.1993",29039/29040/29041/29042/29043
"axonopus monticolascaramuzza, c.a.m.769na",29156
"axonopus monticolasouza, v.c.23441993",29045/29044
"axonopus monticolasendulsky, t.121963",29090
"axonopus monticolatannus, j.l.s.11262006",28998/28997
"axonopus monticolausteri, a.s.n.1907",29147/29148
"axonopus monticolafrança, v.g.; beraldo, k.332014",28983
"axonopus monticolaclayton, w.d.46291965",29080
"axonopus monticolaclayton, w.d.4629na",29159
"axonopus monticolaclayton, w.d.46331965",29079/29078
"axonopus monticolaclayton, w.d.4633na",29157
"axonopus uninodisjoly, a.b.s.n.1947",29162/62937
"axonopus uninodisjoly, a.b.5281947",29163/62935
"axonopus uninodissellow, f.s.n.1836",29168
"axonopus uninodishoehne, w.28171948",29161/62936
"axonopus uninodiswacket, m.s.n.1902",29167/29165/29166/62934
"axonopus uninodisusteri, a.9-a1907",29164/62938
"chascolytrum brasilensebrade, a.c.61621912",63725/63720
"chascolytrum brasilensebrade, a.c.61611912",63721
"chascolytrum brasilensebrade, a.c.129801933",63722
"chusquea anelythrarambo, b.539151953",29173/62943
"chusquea anelythraclark, l.g.; morel, m.6551990",29171/29172/62944/62945
"chusquea anelythraclark, l.g.s.n.na",29174/29175/62941/62942
"chusquea attenuataclark, l.g.; al.832na",29193/62949
"chusquea attenuataclark, l.g.; morel, m.8321991",29185/62953
"chusquea attenuataclark, l.g.; windisch, p.7291990",29187/62954/29186
"chusquea attenuatagarcia, r.j.f.15211998",29181/62950/29179/62951
"chusquea attenuatahashimoto, g.107151984",29188/62957
"chusquea attenuatakirizawa, m.; lopes, e.a.11111983",29189/62958
"chusquea attenuatakuhlmann, m.27401951",29192/62961/29191/62947
"chusquea attenuatakuhlmann, m.28431952",29190/62946
"chusquea attenuatagarcia, r.j.f.; nunes, j.v.c.; utsumi, b.; mata, m.a.14331997",29182/62952
"chusquea attenuatagarcia, r.j.f.; ferreira, g.m.p.14821998",29180/62948
"chusquea attenuatashirasuna, r.t.27702010",29176/62955
"chusquea attenuatashirasuna, r.t.28932010",29177/62956
"chusquea attenuatasugiyama, m.; rossi, l.12341994",29183/62959
"chusquea attenuatasugiyama, m.; rossi, l.12361994",29184/62960
"chusquea erectaclark, l.g.; morel, m.; morel, m.826na",29200/62963
"chusquea erectaclark, l.g.; morel, m.8261991",29198/29199/62968/62969/29195/29196/62966/62967/29194/62964
"chusquea erectaclark, l.g.s.n.na",29201/62965
"chusquea erectaclark, l.g.8261991",29197/62962
"chusquea pinifoliaferreira, s.s.n.1990",29207/62978
"chusquea pinifoliafreitas, l.; kinoshita, l.s.8782000",29203/62971
"chusquea pinifoliaclark, l.g.; windisch, p.g.10561992",29205/62975/29204/62973
"chusquea pulchellaclark, l.g.; al.939na",29225/62982
"chusquea pulchellaclark, l.g.; windisch, p.; windisch, p.726na",29226/62981
"chusquea pulchelladavidse, g.109501976",29222/29223/62980/62988
"chusquea pulchellaclark, l.g.7261990",29219/62979
"chusquea pulchellaclark, l.g.; windisch, p.g.7261990",29217/62987/29216/62984
"chusquea pulchellaclark, l.g.; oliveira, w.9391991",29214/62986/29213/62983
"chusquea pulchellaclark, l.g.; windisch, p.7261990",29218
"chusquea tenuiglumisviana, p.l.; stehmann, j.r.; zamberlan, p.m.31642007",29229/62996
"colanthelia macrostachyalund, p.w.1833na",63006
"ctenium brevispicatummimura, i.6421967",29237/63007/29239/29240/63009/63010/29238/63008
"ctenium cirrosumhandro, o.1231949",29246/29247/63012
digitaria corynotrichagerdes50na,29265
"digitaria corynotrichagottsberger, i.s.10218016371-r1971",29267/63016
"digitaria corynotrichagerdes, j.50na",29266
"digitaria corynotrichakeller, v.c.1172017",63014
"digitaria corynotrichacianciaruso, m.v.s.n.1977",63017
digitaria corynotrichanas.n.1977,63018
"digitaria corynotrichashirasuna, r.t.31872014",29249/63028/29250/63032
"digitaria corynotrichausteri, a.s.n.1908",29264/63033
"eragrostis neesiibarreto, k.d.28961994",29274/63036
"eragrostis neesiigarcia, r.j.f.20942002",29270/63041/29269/63054
"eragrostis neesiilonghi wagner, h.m.; boechat, s.c.31551996",29273/63055
"eragrostis neesiilonghi-wagner, h.m.31551996",29272/63040
"eragrostis neesiilonghi-wagner, h.m.; boechat, s.c.31551996",29271/63037/63038
"gymnopogon burchelliihoehne, w.30091949",29281/63059
"gymnopogon burchelliitannus, j.l.s.11732006",29280/63056
"gymnopogon burchelliishirasuna, r.t.31862014",29277/63058/29278/63061
"gymnopogon burchelliishirasuna, r.t.22982009",29279/63060
"gymnopogon burchelliiusteri, a.s.n.1907",29282/63062
"gymnopogon burchelliiburchell, w.j.4462na",29283
"hymenachne condensataviegas, g.33771939",30355
"hymenachne condensatausteri, a.s.n.1907",30357/63746
"hymenachne pernambucensisfrazão, a.s.n.na",29325
"hymenachne pernambucensisviegas, a.36141939",29314
"hymenachne pernambucensisgentry, a.h.; zardini, e.492651985",29301
"hymenachne pernambucensisamaral, m.c.e.; bittrich, v.; mendonça, t.g.; belinello, r.368312000",29296/63072
"hymenachne pernambucensispickel, b.j.59371953",29307
"hymenachne pernambucensisskvortzov, b.v.901962",29306/29305/63089/63090
"hymenachne pernambucensisskvortzov, b.v.3261964",29303/63078/29304/63105
"hymenachne pernambucensisbrade, a.c.78091918",63064
"hymenachne pernambucensisburchell, w.j.4161na",63091
"hymenachne pernambucensisfrazão, a.12551na",63065
"hymenachne pernambucensisfurlan, n.s.n.2009",29288/63096
"hymenachne pernambucensishoehne, f.c.s.n.1917",29318/63103
"hymenachne pernambucensishoehne, w.3141932",29316/63079
"hymenachne pernambucensishoehne, w.26871948",29308/63081
"hymenachne pernambucensishoehne, w.s.n.1932",29317/63080
"hymenachne pernambucensishoehne, w.s.n.1948",29311/63107/29309/29310/63063
"hymenachne pernambucensishoehne, w.spf128121948",63088
"hymenachne pernambucensishoehne, w.s.n.na",29324/63075
"hymenachne pernambucensiskuhlmann, j.g.1164na",29326
"hymenachne pernambucensisluederwaldt, h.s.n.1913",29319/63104
"hymenachne pernambucensissouza, m.h.a.o.s.n.1977",63084/63085/63087
"hymenachne pernambucensismacedo, c.c.l.302009",29287/63068
"hymenachne pernambucensistorres, r.b.; santos, r.f.10051999",29297/63083/29298/63093
"hymenachne pernambucensisshirasuna, r.t.32252014",29284/29285/63098
"hymenachne pernambucensisrodrigues, m.e.f.1242007",29291/63069
"hymenachne pernambucensisrodrigues, m.e.f.3772007",29292/63071
"hymenachne pernambucensisrodrigues, m.e.f.762006",29293/63070
"hymenachne pernambucensisrodrigues, m.e.f.862007",29289/63067
"hymenachne pernambucensisrodrigues, m.e.f.; macedo, c.762006",29294/63094
"hymenachne pernambucensisrodrigues, m.e.f.; macedo, c.c.l.1242007",29290/63097
"hymenachne pernambucensissaint-hilaire, a.f.c.p.s.n.1816",29322/63076
"hymenachne pernambucensisusteri, a.s.n.1908",29320/63106
"hymenachne pernambucensisveillerot, g.s.n.1936",29315/63100
"ichnanthus bambusiflorusloefgren, a.38191909",29337
"ichnanthus bambusiflorusskvortzov, b.v.1571963",29333
"ichnanthus bambusifloruskuhlmann, m.27561951",29334/63112/29336
"ichnanthus bambusifloruskuhlmann, m.27571951",29335/63113
"ichnanthus bambusiflorusloefgren, a.4631929",63108
"ichnanthus bambusiflorusriedel, l.1642na",63109
"ichnanthus bambusiflorussendulsky, t.4051966",29331/63115/29332
"ichnanthus bambusiflorussendulsky, t.5731967",29329/63114/29330
"ichnanthus bambusiflorusshirasuna, r.t.30362013",29327/63111
"ichnanthus bambusiflorusshirasuna, r.t.23102009",29328/63110
"ichnanthus lancifoliusburchell, w.j.3244na",29923
"ichnanthus lancifoliusloefgren, a.40691898",29922
"ichnanthus lancifoliushoehne, f.c.242771929",29920
"ichnanthus lancifoliusloefgren, a.cgg40691898",29921/63623
"ichnanthus lancifoliussendulsky, t.10211969",29917/63624
leersia ligulariss.col.s.n.1920,29340/63118
"leersia ligularisshirasuna, r.t.; colmanetti, m.; ortiz, p.29762011",29338/63116
"lithachne horizontalishoehne, f.c.13721918",29341/63119
"lithachne horizontalishoehne, f.c.s.n.1918",29342/63120
"luziola bahiensisgehrt, a.s.n.1921",29349/63126
"luziola bahiensisgeorge eiten, l.t.e.19711960",29347
"luziola bahiensisgibbs, p.e.; leitão filho, h.f.60971977",29345
"merostachys bradeibrade, a.c.8462na",29436/63130/29434/63129
"merostachys bradeiborba, j.a.f.s.n.1959",29407/29404/29408/29409/29412/29415/29416/29405/29411/29414/29406/29403/29410
"merostachys bradeiborba, j.a.f.s.n.1960",29391/29393/29394/29396/29400/29401/29392/29398/29399/29397/29395
"merostachys bradeigagliano, j.12014",29352
"merostachys bradeidavidse, g.; ramamoorthy, t.p.; vital, d.m.109291976",29373
"merostachys bradeigreco, t.h.; filgueiras, t.1612013",29353
"merostachys bradeihonda, s.4862008",29362
merostachys bradeiincógnitos.n.1958,29419
"merostachys bradeipereira, j.b.s.s.n.1977",29372
merostachys bradeij.b.s.p.s.n.1958,29418/29420
merostachys bradeij.b.s.p.s.n.na,29438
"merostachys bradeijardim, b.s.s.n.1958",29417
"merostachys bradeijosé, a.f.b.s.n.s.n.1959",29413
"merostachys bradeikuhlmann, m.46081959",29402
"merostachys bradeikuhlmann, m.s.n.1949",29422
"merostachys bradeikuhlmann, m.; kühn, e.s.n.1948",29423
"merostachys bradeimarçon, s.l.; garcia, r.j.f.; siqueira, f.s.; daiana1792009",29356
merostachys bradeis.col.s.n.1958,29421
"merostachys bradeimarçon, s.l.; garcia, r.j.f.; siqueira, f.s.; daiana; joão1792009",29357
"merostachys bradeisendulsky, t.s.n.1971",29383/29377/29382/29385/29388/29389/29390/29380/29378/29386/29387/29379/29375/29381/29384
"merostachys bradeisendulsky, t.s.n.1991",29367/29368/29371/29366/29369/29370/29365
"merostachys bradeisendulsky, t.13991974",29374
"merostachys bradeisendulsky, t.s.n.na",29433/29439/29440/29437/29435
"merostachys bradeishirasuna, r.t.21722009",29355
"merostachys bradeishirasuna, r.t.26102009",29358/29359/29360
"merostachys bradeishirasuna, r.t.26192009",29361
"merostachys bradeishirasuna, r.t.28652010",29354
"merostachys bradeishirasuna, r.t.; costa, a.18112008",29363
"merostachys bradeishirasuna, r.t.; vitta, f.1272005",29364
"merostachys bradeisedulsky, t.s.n.1971",29376
"merostachys bradeivinícius-silva, r.; neves, g.s.1272017",29351
"merostachys breviglumaazevedo, m.t.p.s.n.1981",29447/63153
"merostachys breviglumaclark, l.g.; morel, m.6151990",29441/29442/63143/63146
"merostachys breviglumakuhlmann, m.20841949",29450/63144
"merostachys breviglumakuhlmann, m.s.n.1948",29453/63145/29452/63141
"merostachys breviglumawindisch, p.g.27881980",29449/63147
"merostachys breviglumabockermann, w.s.n.1981",29444/63142
"merostachys burmaniipickel, b.58401944",29468/29469/63156/63158
"merostachys burmaniigehrt, a.; kuhlmann, m.s.n.1944",29466/63163
"merostachys burmaniitoledo, j.f.503621944",29460/29461/29462/63155/63157/63159
"merostachys burmaniikuhlmann, m.s.n.1944",29467/63164/29465/63160/29464/63154
"merostachys burmaniitoledo, j.f.s.n.1944",29463/63162
"merostachys burmaniitoledo, j.f.s.n.1959",29456/29457/29458/29459/63165/63166/63167/63168
"merostachys caucaianamenezes, n.l.; handro, o.s.n.1978",29473/63171/29472
merostachys caucaiananas.n.1978,29471/63169
merostachys caucaianas.col.s.n.1978,29470/63170
"merostachys kleiniishirasuna, r.t.27682010",29474/63172
"merostachys neesiijoly, a.b.84501948",29552/63182
"merostachys neesiipickel, b.59321949",29533/63195
"merostachys neesiichiea, s.a.c.; melo, m.m.r.f.; jung, s.l.1211980",29527/63256
"merostachys neesiiclark, l.g.; morel, m.8301991",29508/63218/29506/63201/29505/63185
"merostachys neesiiunknown, c.s.n.1980",29517/63196
"merostachys neesiipickel, b.s.n.1949",29530/63216
"merostachys neesiisilva, t.s.s.n.1980",29513/63217/29511/63212/29514/29523/29524/29525/63215/63244/63245/63246/29521/29512/63205
"merostachys neesiimcclure, f.a.212941943",29556/29557/29558/29559/29560/29561/63173/63175/63191/63197/63198/63202
"merostachys neesiispina, f.; martuscelli, v.s.n.2012",29482/63177
"merostachys neesiifurlan, c.m.702016",29476/63206
"merostachys neesiiluederwaldt, h.223541915",29562/63186
"merostachys neesiiluederwaldt, h.s.n.1915",29563/63174/29564/63247
"merostachys neesiihoehne, f.c.s.n.1948",29555/63262
"merostachys neesiihoehne, w.29671949",29532/63210
"merostachys neesiijoly, a.b.s.n.1948",29553/63208
"merostachys neesiikirizawa, m.28421993",29504/63233
"merostachys neesiikuhlmann, m.151948",29549/63250
"merostachys neesiikuhlmann, m.31501948",29554/63236
"merostachys neesiikuhlmann, m.31511948",29548/29550/63231/63232
"merostachys neesiikuhlmann, m.31521949",29534/63252
"merostachys neesiikuhlmann, m.31541949",29536/63253
"merostachys neesiikuhlmann, m.s.n.1948",29540/29544/29546/63235/63237/63251/29539/63192/29537/63184
"merostachys neesiikuhlmann, m.; kuhn, e.31531949",29531/63214
"merostachys neesiikuhlmann, m.; kühn, e.31531949",29535/63230
"merostachys neesiikuhlmann, m.; kühn, e.s.n.1948",29545/63249
"merostachys neesiikuhlmann, m.; toledo, j.f.31491948",29547/63254/29542/63187
"merostachys neesiiclark, l.g.8301991",29507/63176
"merostachys neesiikuhlmann, m.547641948",29538/63200
"merostachys neesiikuhlmann, m.; toledo, j.f.s.n.1948",29541/29543/63194/63199
"merostachys neesiipace, m.r.; villagra, b.l.p.1772012",29481/63183/29480/63209
"merostachys neesiinetto, a.a.61948",29551/63207
"merostachys neesiiwindisch, p.g.27881980",29526/63203
"merostachys neesiipace, m.r.177na",29566/63213
merostachys neesiis.col.s.n.1994,29503/63229
merostachys neesiis.col.s.n.1999,29500/63227
"merostachys neesiisarahyba, l.s.; gomes, d.m.s.10331999",29502/63257
"merostachys neesiisarahyba, l.s.; sendulsky, t.; gomes, d.m.s.10351999",29501/63219
"merostachys neesiisendulsky, t.s.n.1980",29522/29528/63243/63248
"merostachys neesiisendulsky, t.271na",29565
"merostachys neesiishirasuna, r.t.16742008",29490/29491/63258/63259
"merostachys neesiishirasuna, r.t.17822008",29494/63221
"merostachys neesiishirasuna, r.t.18052008",29493/63260
"merostachys neesiishirasuna, r.t.26932009",29489/63223
"merostachys neesiishirasuna, r.t.27592010",29485/63224
"merostachys neesiishirasuna, r.t.28642010",29486/63225
"merostachys neesiishirasuna, r.t.28812010",29487/63226
"merostachys neesiishirasuna, r.t.29262011",29483/63222
"merostachys neesiishirasuna, r.t.30022011",29484/63255
"merostachys neesiishirasuna, r.t.17752008",29495/63261
"merostachys neesiishirasuna, r.t.; filgueiras, t.s.22302009",29488/63220
"merostachys neesiishirasuna, r.t.; kirizawa, m.17552008",29492/63234
"merostachys neesiisilva, t.s.n.1980",29515/29516/29518/29519/29520/63188/63189/63190/63193/63204
"merostachys neesiivillagra, b.l.p.3302012",29479/63211
"merostachys polyanthaandrade-lima, d.62-41221962",63264/63265/63266/69176/69177/69178/63263/69175
"merostachys polyanthakuhlmann, m.s.n.1954",69179/63267
"merostachys scandensgreco, t.h.; filgueiras, t.1632013",29569/63286
"merostachys scandenshandro, o.s.n.1941",29599/63290
merostachys scandensnas.n.1973,29586
"merostachys scandenssendulsky, t.13191973",29577/63281/29578/29592/63273/63294/29587/29588/63282/63283/29580/29582/29589/63268/63277/63279/29579/63274
"merostachys scandenssendulsky, t.13171973",29594/63293/29584/63278
"merostachys scandenssendulsky, t.1319na",29600/63287
"merostachys scandenssendulsky, t.13201973",29591/29595/29596/29597/63295/63296/63297/63298/29581/29585/29590/63269/63276/63280
"merostachys scandenssendulsky, t.13231973",29593/29598/63291/63292/29583/63275
"merostachys scandenssendulsky, t.13651974",29575/29576/63299/63300
"merostachys scandensshirasuna, r.t.29932011",29570/29571/63288/63289
"merostachys scandensvinícius-silva, r.; neves, g.s.1252017",29567/29568/63271/63284
"merostachys skvortzoviigehrt, a.460091941",29667/63322
"merostachys skvortzoviigehrt, a.s.n.1941",29666/63312/29668/63353
"merostachys skvortzoviiskvortzov, b.v.s.n.1973",29632/29635/63365
"merostachys skvortzoviidavidse, g.108921976",29615/63318
"merostachys skvortzoviimedeiros, m.s.n.2013",29606/63368
"merostachys skvortzoviipanizza, s.s.n.1973",29640/63332
"merostachys skvortzoviivinícius-silva, r.; neves, g.s.1282017",29602/63336/29601/29603/63308/63345
"merostachys skvortzoviisarahyba, l.s.; sendulsky, t.; gomes, d.m.s.10341999",29614/63366
"merostachys skvortzoviisarmento, m.m.s.n.na",29669/29670
"merostachys skvortzoviisarmento, m.m.s.n.2010",29609/63307
"merostachys skvortzoviisendulsky, t.13141973",29627/63338/29637/29638/63355/63356/29629/29633/63306/63319
"merostachys skvortzoviisendulsky, t.13151973",29626/63339/63342/29636/63357/29630/29631/29634/63305/63324/63326/29639/63329/29628/63315
"merostachys skvortzoviisendulsky, t.13181973",29645/63341/29661/63358/29651/29655/63302/63323/29641/63328/29650/63313
"merostachys skvortzoviisendulsky, t.13221973",29646/63337/29662/29663/63359/63362/29653/29656/63304/63325/29647/63311
"merostachys skvortzoviisendulsky, t.13241973",29644/63340/29658/29659/29660/63354/63363/63364/29652/29657/63303/63320/29643/63331/29649/63314
"merostachys skvortzoviisendulsky, t.1341-a1974",29622/63343
"merostachys skvortzoviisendulsky, t.1341-b1974",29621/63344
"merostachys skvortzoviisendulsky, t.13211973",29664/29665/63360/63361/29654/63321/29642/63327/29648/63316
"merostachys skvortzoviisendulsky, t.13411974",29619/29623/29625/63333/63348/63367/29620/63310/29624/29617/63301/63334/29618/63330/29616/63317
"merostachys skvortzoviisendulsky, t.s.n.na",29671
"merostachys skvortzoviishirasuna, r.t.1242005",29611/63349
"merostachys skvortzoviishirasuna, r.t.1292005",29612/63350
"merostachys skvortzoviishirasuna, r.t.27582010",29607/63351
"merostachys skvortzoviishirasuna, r.t.28242010",29608/63352
mesosetum ferrugineumdurvall30361897,29681/63372
"mesosetum ferrugineumedwall, g.3036na",29683
"mesosetum ferrugineumedwall, g.cgg30361894",29682/63379
"mesosetum ferrugineumhandro, o.1461949",29677/29678/63375/63380
"mesosetum ferrugineumbaitello, j.b.11972002",29674/63377
"mesosetum ferrugineumbaitello, j.b.12952002",29675/63378
"mesosetum ferrugineumtannus, j.l.s.10212005",29672/63376/29673/63373
"mesosetum ferrugineumjoly, a.b.5761947",29679/63374
"mesosetum ferrugineumkeller, v.c.62016",63370
"mesosetum ferrugineumkeller, v.c.122016",63369
"mesosetum ferrugineumpickel, b.54831941",29680/63371
mesosetum ferrugineumprade129821983,29676
"panicum peladoensechase, a.105891930",29704/63388
"panicum peladoensechase, a.106971930",29705/63387
"panicum peladoensepickel, b.51541941",29703
"panicum peladoensebrade, a.c.81441915",63384/63385
"panicum peladoensehoehne, f.c.205371927",29707
"panicum peladoenseblack, g.a.51-112201951",29699
"panicum peladoenseeiten, g.; eitem, l.t.; sota, e.r.21161960",29698
"panicum peladoensehandro, o.561949",29700/63399
"panicum peladoensemartius, c.f.p.s.n.na",29709/29710
panicum peladoensena57951942,29702
"panicum peladoensepickel, b.57951942",29701/63386
"panicum peladoensemachado, s.2091960",29695
"panicum peladoensesemir, j.s.n.1968",29688/63389
"panicum peladoensecampos, s.m.2091960",29693
"panicum peladoenseclayton, w.d.4507na",29711
"paspalum acuminatumdedecca, d.m.327na",29721
"paspalum acuminatumzamith, j.r.s.s.n.1935",29720/63404
"paspalum cinerascensloefgren, a.38411909",29966
"paspalum cinerascensloefgren, a.2161909",29965
"paspalum cinerascensusteri, a.53na",29969
"paspalum cinerascensusteri, a.98541907",29968
"paspalum cinerascenssendulsky, t.821963",29964/63654
"paspalum cinerascensusteri, a.s.n.1907",29967/63655
"paspalum erianthoidesjoly, a.b.s.n.1947",29722/63412
"paspalum erianthumloefgren, a.149na",29781
"paspalum erianthumloefgren, a.193na",29779/29780
"paspalum erianthumloefgren, a.38181909",29774
"paspalum erianthumchase, a.105841930",29772/29770/63428
"paspalum erianthumchase, a.106051929",29773
"paspalum erianthumviegas, a.; lima, a.59531940",29760
"paspalum erianthumblack, g.a.111571951",63419
"paspalum erianthumblack, g.a.112701951",63418
"paspalum erianthumblack, g.a.112781951",63417
"paspalum erianthumblack, g.a.112901951",63416
"paspalum erianthumbrade, a.c.122341932",63421
"paspalum erianthumeiten, g.28781961",63429
"paspalum erianthumeiten, g.; eiten, l.t.; sendulsky, t.28781961",29736/63441
"paspalum erianthumeiten, g.; sendulsky, t.28781961",29738/63464/29739/29737/63427
"paspalum erianthumhoehne, f.c.; gehrt, a.367251936",29768
"paspalum erianthumhoehne, f.c.; gehrt, a.8451936",29769
"paspalum erianthumeiten, g.; campos, s.m.14831959",29753
"paspalum erianthumviegas, g.51871939",29762
"paspalum erianthumeiten, g.14831959",29751
