especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Anathallis bleyensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Anathallis colnagoi,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Anathallis crebrifolia,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Anathallis gehrtii,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Anathallis gerthatschbachii,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anathallis guimaraensii,UICN_API,NA,NA,NA,NA,NA,NA,VU,NA,NA
Anathallis kautskyi,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Anathallis montipelladensis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Anathallis obovata,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anathallis pabstii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Anathallis radialis,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Anathallis tigridens,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Ancistrotropis firmula,sima-SP_oficial,NA,LC,VU,VU,NA,NA,NA,NA,NA
Andira anthelmia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Andira fraxinifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Andira humilis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Andira ormosioides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Andira praecox,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Andira vermifuga,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Andreadoxa flava,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Andropogon carinatus,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Andropogon glaucophyllus,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Andropogon hypogynus,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Anemia blechnoides,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Anemia candidoi,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Anemia dentata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Anemia espiritosantensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Anemia gardneri,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Anemia organensis,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Anemia trichorhiza,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Anemone decapetala,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Anemone decapetala var. foliolosa,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Anemone sellowii,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Anemopaegma arvense,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Anemopaegma mirabile,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Anemopaegma patelliforme,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Anetanthus gracilis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Anetium citrifolium,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aneura pinguis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Angelonia alternifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Angelonia integerrima,sima-SP_oficial,NA,LC,EX,EX,NA,NA,NA,NA,NA
Aniba ferrea,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aniba firmula,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aniba heringeri,sima-cncflora_web,NA,LC,EN,NA,NA,LC,NA,NA,NA
Aniba heringerii,SP_oficial,NA,NA,NA,EN,NA,NA,NA,NA,NA
Aniba rosaeodora,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aniba santalodora,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aniba viridis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Aniseia martinicensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aniseia martinicensis var. ambigua,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Anneliesia cuneata,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Anneliesia kayasimae,cncflora_web,NA,NA,NA,NA,NA,CR,NA,NA,NA
Anneliesia russelliana,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Annona annonoides,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Annona burchellii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Annona cacans,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Annona calcarata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Annona coriacea,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Annona crassiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Annona dioica,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Annona dolabripetala,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Annona emarginata,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Annona ferruginea,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Annona glabra,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Annona glaucophylla,sima-SP_oficial,NA,NT,EX,EX,NA,NA,NA,NA,NA
Annona malmeana,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Annona maritima,sima-cncflora_web-UICN_API-Portaria 443/2014,VU,NA,NA,NA,NA,VU,LC,NA,VU
Annona montana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Annona monticola,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Annona neosalicifolia,sima-UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Annona neosericea,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Annona nutans,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Annona parviflora,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Annona pickelii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Annona reticulata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Annona rugulosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Annona sylvatica,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Annona ubatubensis,sima-SP_oficial-cncflora_web-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,EN,LR/nt,NA,EN
Annona xylopiifolia,sima-SP_oficial-cncflora_web-UICN_API,NA,NT,EX,EX,NA,NT,LR/nt,NA,NA
Anomochloa marantoidea,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Anomospermum reticulatum subsp. nitidum,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Anteremanthus hatschbachii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Anthaenantiopsis fiebrigii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Anthodon decussatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Anthurium ameliae,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Anthurium bocainense,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Anthurium fontellanum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Anthurium fontellanus,cncflora_web,NA,NA,NA,NA,NA,DD,NA,NA,NA
Anthurium jureianum,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Anthurium kunthii,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Anthurium langsdorffii,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Anthurium longifolium,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Anthurium lucidum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Anthurium luschnathianum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Anthurium organense,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Anthurium parasiticum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Anthurium parvum,sima,NA,NT,NA,NA,NA,NA,NA,NA,NA
Anthurium radicans,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Anthurium sinuatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Anthurium xanthophylloides,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aosa parviflora,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Aosa uleana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aparisthmium cordatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Apeiba tibourbou,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aphelandra espirito-santensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aphelandra longiflora,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Aphelandra margaritae,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aphelandra maximiliana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aphelandra prismatica,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aphelandra schottiana,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Aphelandra squarrosa,sima-SP_oficial-cncflora_web,NA,LC,EW,EW,NA,LC,NA,NA,NA
Apinagia fluitans,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Apinagia riedelii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Apium prostratum,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Apoclada simplex,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Apteria aphylla,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Apuleia leiocarpa,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Arachis villosa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Araeococcus montanus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aralia warmingiana,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Araucaria angustifolia,sima-cncflora_web-UICN_API-mpoSP-Portaria 443/2014,EN,NA,NA,NA,NA,EN,CR,EN,EN
Ardisia guianensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aristida brasiliensis,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Aristida circinalis,sima-SP_oficial-mpoSP,NA,NA,EN,EN,NA,NA,NA,EN,NA
Aristida constricta,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aristida ekmaniana,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Aristida filifolia,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Aristida laevis,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Aristida macrophylla,sima-SP_oficial-mpoSP,NA,NA,EX,EX,NA,NA,NA,EX,NA
Aristida oligospira,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Aristida sanctae-luciae,sima-SP_oficial-cncflora_web,NA,DD,EX,EX,NA,DD,NA,NA,NA
Aristida subaequans,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Aristolochia curviflora,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aristolochia cymbifera,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,VU,VU,NA,LC,NA,VU,NA
Aristolochia hypoglauca,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aristolochia labiata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aristolochia odora,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EX,EX,NA,VU,NA,NA,VU
Aristolochia odoratissima,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Aristolochia wendeliana,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Arrojadoa bahiensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Arrojadoa eriocaulis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Arthrocereus glaziovii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Arthrocereus melanurus,sima-UICN_API,EN,NA,NA,NA,NA,NA,VU,NA,NA
Arthrocereus melanurus subsp. melanurus,cncflora_web-Portaria 443/2014,NA,NA,NA,NA,NA,EN,NA,NA,EN
Arthrocereus rondonianus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Arthropogon villosus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Arthropogon xerachne,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR
Arundinella deppeana,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EX,EX,NA,VU,NA,NA,VU
Arundo donax,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Asclepias aequicornu,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EN,EN,NA,LC,NA,EN,NA
Asclepias langsdorffii,sima-cncflora_web,NA,LC,EX,NA,NA,LC,NA,NA,NA
Asclepias langsdorfii,SP_oficial,NA,NA,NA,EX,NA,NA,NA,NA,NA
Asclepias mellodora,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aspasia lunata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Aspicarpa sericea,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Aspidogyne commelinoides,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Aspidogyne kuczynskii,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Aspidosperma album,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aspidosperma australe,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Aspidosperma camporum,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Aspidosperma compactinervium,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Aspidosperma cuspa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aspidosperma cylindrocarpon,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Aspidosperma ingratum,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Aspidosperma inundatum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aspidosperma macrocarpon,sima-SP_oficial,NA,LC,VU,VU,NA,NA,NA,NA,NA
Aspidosperma multiflorum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aspidosperma nobile,sima-SP_oficial,NA,LC,CR,CR,NA,NA,NA,NA,NA
Aspidosperma polyneuron,sima-cncflora_web-UICN_API,NA,NT,NA,NA,NA,NT,EN,NA,NA
Aspidosperma pyricollum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aspidosperma quebracho-blanco,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aspidosperma quirandy,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Aspidosperma ramiflorum,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Aspidosperma riedelii,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,EN,EN,NA,LC,NA,EN,NA
Aspidosperma sandwithianum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aspidosperma spruceanum,sima-SP_oficial,NA,LC,EN,EN,NA,NA,NA,NA,NA
Aspidosperma subincanum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Aspidosperma tomentosum,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Aspilia almasensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aspilia attenuata,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Aspilia belo-horizontinae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aspilia caudata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aspilia clausseniana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aspilia cordifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aspilia cylindrocephala,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aspilia diamantinae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aspilia diffusiflora,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aspilia diniz-cruzeanae,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aspilia eglerii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aspilia espinhacensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aspilia floribunda,sima-SP_oficial-cncflora_web,NA,LC,EN,EN,NA,LC,NA,NA,NA
Aspilia grazielae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aspilia jugata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aspilia ovalifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Aspilia pereirae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aspilia pohlii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Aspilia prostrata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Aspilia reticulata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Aspilia silphioides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Asplenium austrobrasiliense,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Asplenium beckeri,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Asplenium bradeanum,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Asplenium campos-portoi,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Asplenium castaneum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Asplenium formosum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Asplenium lacinulatum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asplenium muellerianum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asplenium praemorsum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asplenium schwackei,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Asplenium trindadense,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Asplenium ulbrichtii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asplenium wacketii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asplundia brachypus,sima,VU,NA,NA,NA,NA,NA,NA,NA,NA
Asplundia polymera,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asplundia polymera subsp. reitzii,cncflora_web-Portaria 443/2014,NA,NA,NA,NA,NA,VU,NA,NA,VU
Asterella venosa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asterostigma colubrinum,sima-SP_oficial-mpoSP,NA,NA,VU,VU,NA,NA,NA,VU,NA
Asterostigma cubense,sima-SP_oficial-cncflora_web,NA,DD,VU,VU,NA,DD,NA,NA,NA
Asterostigma lividum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Asterostigma lombardii,sima-SP_oficial,NA,LC,VU,VU,NA,NA,NA,NA,NA
Asterostigma tweedianum,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Astraea cincta,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Astraea lobata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Astrocaryum aculeatissimum,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/lc,NA,NA
Astrocaryum minus,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Astronium graveolens,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Astronium urundeuva,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Athyrium filix-femina,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Atractylocarpus brasiliensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Atractylocarpus longisetus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Attalea barreirensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Attalea brasiliensis,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Attalea oleifera,sima-SP_oficial-cncflora_web-UICN_API,NA,LC,VU,VU,NA,LC,LR/lc,NA,NA
Attalea phalerata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aulonemia aristulata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aureliana cuspidata,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aureliana fasciculata,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/cd,NA,NA
Aureliana sellowiana,cncflora_ckan,NA,NA,NA,NA,NA,EN,NA,NA,NA
Aureliana tomentosa,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Aureliana wettsteiniana,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Austroblechnum lechleri,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Austrocritonia angulicaulis,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Austroeupatorium rosmarinaceum,sima-SP_oficial-Portaria 443/2014,VU,NA,EX,EX,NA,NA,NA,NA,VU
Avena strigosa,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Avicennia germinans,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Avicennia schaueriana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Axonopus argentinus,sima-mpoSP,EN,NA,EX,NA,NA,NA,NA,EX,NA
Axonopus aureus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Axonopus carajasensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Axonopus chrysoblepharis,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Axonopus comans,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Axonopus complanatus,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Axonopus fastigiatus,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EX,EX,NA,VU,NA,NA,VU
Axonopus hydrolithicus,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Axonopus monticola,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Axonopus pressus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Axonopus ramboi,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,NA,EX,NA,EN,NA,NA,EN
Axonopus scoparius,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Axonopus uninodis,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,CR,NA,EX,EX,NA,CR,NA,EX,CR
Azara uruguayensis,sima-cncflora_web,NA,NT,NA,NA,NA,NT,NA,NA,NA
Baccharis aracatubensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Baccharis brevifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Baccharis concinna,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Baccharis elliptica,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Baccharis grandimucronata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Baccharis hypericifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Baccharis lychnophora,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Baccharis megapotamica,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Baccharis megapotamica var. weirii,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Baccharis oreophila,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Baccharis paranensis,sima-cncflora_web,NA,NT,NA,NA,NA,NT,NA,NA,NA
Baccharis penningtonii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Baccharis polyphylla,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Baccharis pseudoalpestris,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Baccharis punctulata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Baccharis sagittalis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Baccharis sphenophylla,sima-cncflora_web,NA,NT,NA,NA,NA,NT,NA,NA,NA
Baccharis xiphophylla,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Bacopa cochlearia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Bacopa congesta,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Bacopa monnieri,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Bactris hatschbachii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
